IP,Timestamp,Threat Type,Request,User Agent
234.80.209.190,21/Aug/2025:12:29:59 +0200,sql_injection,GET /search?q=' or 1=1 -- HTTP/1.1,
234.80.209.190,21/Aug/2025:12:29:59 +0200,suspicious_user_agent,GET /search?q=' or 1=1 -- HTTP/1.1,
95.28.132.68,21/Aug/2025:12:29:59 +0200,path_traversal,GET /download?path=../../../../etc/passwd HTTP/1.1,
95.28.132.68,21/Aug/2025:12:29:59 +0200,suspicious_user_agent,GET /download?path=../../../../etc/passwd HTTP/1.1,
202.66.59.74,21/Aug/2025:12:29:59 +0200,sql_injection,GET /report?delay=sleep(5) HTTP/1.1,
202.66.59.74,21/Aug/2025:12:29:59 +0200,suspicious_user_agent,GET /report?delay=sleep(5) HTTP/1.1,
241.108.26.150,21/Aug/2025:12:29:59 +0200,suspicious_user_agent,GET /shop/phone?page=5 HTTP/1.1,
26.50.121.115,21/Aug/2025:12:29:59 +0200,suspicious_user_agent,GET /shop/keyboard?page=2 HTTP/1.1,
164.36.201.243,21/Aug/2025:12:30:00 +0200,sql_injection,"GET /items?id=1 UNION SELECT username,password FROM users HTTP/1.1",
164.36.201.243,21/Aug/2025:12:30:00 +0200,suspicious_user_agent,"GET /items?id=1 UNION SELECT username,password FROM users HTTP/1.1",
16.220.126.31,21/Aug/2025:12:30:00 +0200,sql_injection,GET /report?delay=sleep(5) HTTP/1.1,
16.220.126.31,21/Aug/2025:12:30:00 +0200,suspicious_user_agent,GET /report?delay=sleep(5) HTTP/1.1,
154.12.232.141,21/Aug/2025:12:30:00 +0200,suspicious_user_agent,GET /shop/keyboard?page=3 HTTP/1.1,
211.28.240.56,21/Aug/2025:12:30:00 +0200,suspicious_user_agent,GET /shop/router?page=5 HTTP/1.1,
121.72.254.193,21/Aug/2025:12:30:00 +0200,suspicious_user_agent,GET /shop/router?page=3 HTTP/1.1,
189.177.130.87,21/Aug/2025:12:30:01 +0200,suspicious_user_agent,GET /shop/keyboard?page=3 HTTP/1.1,
200.206.221.203,21/Aug/2025:12:30:01 +0200,suspicious_user_agent,GET /shop/laptop?page=3 HTTP/1.1,
231.102.214.142,21/Aug/2025:12:30:01 +0200,sql_injection,"GET /items?id=1 UNION SELECT username,password FROM users HTTP/1.1",
231.102.214.142,21/Aug/2025:12:30:01 +0200,suspicious_user_agent,"GET /items?id=1 UNION SELECT username,password FROM users HTTP/1.1",
197.6.168.118,21/Aug/2025:12:30:01 +0200,xss_attack,GET /?q=<script>alert(1)</script> HTTP/1.1,
197.6.168.118,21/Aug/2025:12:30:01 +0200,suspicious_user_agent,GET /?q=<script>alert(1)</script> HTTP/1.1,
177.87.245.107,21/Aug/2025:12:30:01 +0200,suspicious_user_agent,GET /shop/router?page=4 HTTP/1.1,
84.124.135.19,21/Aug/2025:12:30:02 +0200,sensitive_paths,GET /login?user=admin&pass=admin' OR '1'='1 HTTP/1.1,
84.124.135.19,21/Aug/2025:12:30:02 +0200,suspicious_user_agent,GET /login?user=admin&pass=admin' OR '1'='1 HTTP/1.1,
73.32.206.15,21/Aug/2025:12:30:02 +0200,suspicious_user_agent,GET /shop/router?page=3 HTTP/1.1,
98.164.46.183,21/Aug/2025:12:30:02 +0200,suspicious_user_agent,GET /shop/keyboard?page=2 HTTP/1.1,
243.44.109.21,21/Aug/2025:12:30:02 +0200,sql_injection,GET /report?delay=sleep(5) HTTP/1.1,
